src_ip,dst_ip,Source Port,Destination Port,Protocol,Flow Duration,Total Packets,Total Length of Packets,Packet Length Max,Packet Length Min,Packet Length Mean,Packet Length Std,Label
10.0.0.49,172.16.0.1,58452,6001,6,1.972,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.66,172.16.0.1,55162,6001,6,0.555,3,162,54,54,54,0,RST-ACK Flood
10.0.0.37,172.16.0.1,51296,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.67,172.16.0.1,52068,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.47,172.16.0.1,48308,6001,6,0.058,3,162,54,54,54,0,RST-ACK Flood
10.0.0.68,172.16.0.1,38329,6001,6,0.003,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.69,172.16.0.2,33766,443,6,12.088,2,132,78,54,66,16.97056275,SYN Flood
10.0.0.70,172.16.0.1,45064,6001,6,1.558,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.71,172.16.0.1,49990,6001,6,1.538,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.72,172.16.0.1,50667,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.73,172.16.0.2,49409,443,6,0,1,54,54,54,54,0,RST Flood
10.0.0.53,172.16.0.1,46750,6001,6,2.648,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.74,172.16.0.2,42032,443,6,0,1,54,54,54,54,0,RST Flood
10.0.0.30,172.16.0.1,50753,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.29,172.16.0.1,42300,6001,6,0.117,3,162,54,54,54,0,RST-ACK Flood
10.0.0.34,172.16.0.1,48146,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.27,172.16.0.1,48598,6001,6,0.906,3,162,54,54,54,0,RST-ACK Flood
10.0.0.48,172.16.0.1,56594,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.56,172.16.0.1,36496,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.46,172.16.0.1,39832,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.75,172.16.0.1,40550,6001,6,0.738,3,162,54,54,54,0,RST-ACK Flood
10.0.0.76,172.16.0.2,60014,443,6,0,1,54,54,54,54,0,RST Flood
10.0.0.77,172.16.0.1,56515,6001,6,0.065,3,162,54,54,54,0,RST-ACK Flood
10.0.0.40,172.16.0.1,59134,6001,6,0.332,3,162,54,54,54,0,RST-ACK Flood
10.0.0.78,172.16.0.1,55750,6001,6,0.03,3,162,54,54,54,0,RST-ACK Flood
10.0.0.30,172.16.0.1,50754,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.79,172.16.0.1,25408,6001,6,0.034,3,162,54,54,54,0,RST-ACK Flood
10.0.0.33,172.16.0.1,56412,6001,6,0.306,3,162,54,54,54,0,RST-ACK Flood
10.0.0.50,172.16.0.1,35032,6001,6,0.017,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.49,172.16.0.1,58454,6001,6,0.01,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.80,172.16.0.2,40678,443,6,0,1,54,54,54,54,0,RST Flood
10.0.0.51,172.16.0.1,55574,6001,6,0.295,3,162,54,54,54,0,RST-ACK Flood
10.0.0.39,172.16.0.1,56551,6001,6,0.013,3,162,54,54,54,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53338,6001,6,0.001,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.4,172.16.0.1,47254,6001,6,0.002,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.14,172.16.0.1,48278,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48794,6001,6,0.284,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.4,172.16.0.1,47256,6001,6,0.275,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.35,172.16.0.1,53602,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.29,172.16.0.1,42301,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.34,172.16.0.1,48148,6001,6,0.002,3,162,54,54,54,0,RST-ACK Flood
10.0.0.43,172.16.0.1,57372,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.27,172.16.0.1,48600,6001,6,0.384,3,162,54,54,54,0,RST-ACK Flood
10.0.0.46,172.16.0.1,39834,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.81,172.16.0.1,33540,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.48,172.16.0.1,56596,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.65,172.16.0.1,40196,6001,6,0.334,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.46,172.16.0.1,39836,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.53,172.16.0.1,46752,6001,6,0.003,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.82,172.16.0.1,42280,6001,6,0.068,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.72,172.16.0.1,50668,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.52,172.16.0.1,34892,6001,6,0.987,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.54,172.16.0.1,52862,6001,6,0.056,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.83,172.16.0.1,45214,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.50,172.16.0.1,35034,6001,6,0.024,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.37,172.16.0.1,51298,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.59,172.16.0.1,38192,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.84,172.16.0.2,25111,443,6,0,1,54,54,54,54,0,RST Flood
10.0.0.53,172.16.0.1,46754,6001,6,0.032,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.85,172.16.0.1,41180,6001,6,0.002,3,162,54,54,54,0,RST-ACK Flood
10.0.0.86,172.16.0.1,54322,6001,6,0.034,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.13,172.16.0.1,45091,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.87,172.16.0.1,34132,6001,6,0.002,5,310,74,54,62,10.95445115,RST-ACK Flood
